post_id,text_content,hashtags,mentions,keywords,topic_category,platform_id
92e3b7jxq33k,Attended the Microsoft GlobalCampaign event yesterday. Wouldn't recommend. #Affordable Really interested in hearing your thoughts!,#Affordable,@CustomerService,"fast, modern, experience",Returns,4
w89ng3lkf85x,Should I upgrade about Microsoft's Xbox Series X?  #BestValue Curious about your experience too.,#BestValue,,"price, budget, luxury, traditional",Pricing,5
ft6t9hg5wy4x,"Has anyone else experienced customer service with Coca-Cola's Coca-Cola Vanilla? As expected. @CompetitorBrand, @RetailSupport #ProductLaunch, #Affordable","#ProductLaunch, #Affordable","@CompetitorBrand, @RetailSupport","value, innovation",Support,1
fxtgqergvwi3,"Has anyone else experienced delivery delays with Pepsi's Pepsi Max? Returning it ASAP. @BrandSupport #SpecialOffer, #Promo","#SpecialOffer, #Promo",@BrandSupport,"disappointing, outdated, budget, user-friendly",Product,3
wlwr29rju5j1,"My two days review of Toyota Highlander: Not worth the money. #MustHave, #Limited Let me know what you think!","#MustHave, #Limited",,"expensive, durable, innovation, competitive",Delivery,4
8k0ih67gu4sq,"Has anyone else experienced connectivity issues with Coca-Cola's Coca-Cola Vanilla? Mixed feelings about it. @ProductTeam, @RetailSupport #Innovation",#Innovation,"@ProductTeam, @RetailSupport","eco-friendly, innovation, reliable",Returns,3
s3jm9lrx9f12,"Attended the Adidas FallCollection event yesterday. Returning it ASAP. #Food, #TrendAlert Really interested in hearing your thoughts!","#Food, #TrendAlert",,"amazing, poor, innovation, stylish",Marketing,2
22w19kpfp2ka,"Just saw an ad for Toyota RAV4 during the CustomerFirst. Not bad. #Reviews, #Sale Really interested in hearing your thoughts!","#Reviews, #Sale","@BrandSupport, @NewsOutlet","cheap, slow, durable, amazing",Returns,3
4z5prni04izu,My one week review of Pepsi Pepsi Max: Disappointed with the quality. #TrendAlert Let me know what you think!,#TrendAlert,,"excellent, budget",Pricing,1
p6oejykhfip9,Anyone have tips about Microsoft's Xbox Elite Controller?  #Beauty Would love to get your feedback!,#Beauty,,"performance, satisfaction, upgraded",Returns,4
j19g5e2sqqch,Just unboxed my new Surface Laptop from Microsoft. Disappointed with the quality. So happy #Premium,#Premium,"@CelebrityName, @RetailSupport","quality, upgraded, modern, slow",Returns,4
ssr74xwytax1,Coca-Cola CyberMonday is frustrating! Can't wait to see what's coming next. #Innovation Would love to get your feedback!,#Innovation,"@StyleGuide, @MarketingTeam","helpful, innovation, stylish, satisfaction",Returns,4
22g96ac6xxzj,"Has anyone else experienced connectivity issues with Apple's MacBook Pro? Worth every penny. @BrandCEO, @CustomerService #NewRelease, #Reviews","#NewRelease, #Reviews","@BrandCEO, @CustomerService","premium, eco-friendly, satisfaction, responsive",Pricing,3
u4sa9z41ahpt,"Cannot believe with my new iMac from Apple! Disappointed with the quality. #NewRelease, #Beauty Really interested in hearing your thoughts!","#NewRelease, #Beauty",@IndustryExpert,"delivery, premium, performance, outdated",Marketing,5
umhccxz9lqgj,"Just tried the Ring Camera from Amazon. Does the job. #Affordable, #Sustainable, #Beauty Really interested in hearing your thoughts!","#Affordable, #Sustainable, #Beauty",,"fast, luxury, satisfaction",Pricing,2
msavu7mzvob2,"Has anyone else experienced software bugs with Google's Nest Hub? Worth every penny. @ReviewSite, @BrandSupport #Health, #Deal","#Health, #Deal","@ReviewSite, @BrandSupport","user-friendly, premium",Support,2
8g430tw7xly2,"Has anyone else experienced software bugs with Toyota's Sienna? Worth every penny. @InfluencerName #Lifestyle, #Sale, #TrendAlert","#Lifestyle, #Sale, #TrendAlert",@InfluencerName,"luxury, eco-friendly, price, cheap",Marketing,2
9fi7edo1vekz,"Just unboxed my new Dri-FIT from Nike. Wouldn't recommend. Could someone explain #SpecialOffer, #Sale Curious about your experience too.","#SpecialOffer, #Sale",@ReviewSite,"disappointing, competitive, delivery, experience",Delivery,4
xj9ku39j30tr,Pepsi LoyaltyRewards is excellent! Can't wait to see what's coming next. #Sustainable Curious about your experience too.,#Sustainable,,"competitive, experience, price, delivery",Marketing,4
642fmlinklpt,"Just saw an ad for Nike FlyKnit during the LoyaltyRewards. Had issues with it. #Sale, #Affordable, #TrendAlert","#Sale, #Affordable, #TrendAlert",,"efficient, design, satisfaction",Delivery,4
3wiukvbleo3w,"Just unboxed my new Galaxy Z Fold from Samsung. Not worth the money. So happy #Promo, #Eco, #Beauty","#Promo, #Eco, #Beauty","@InfluencerName, @TechHelp","amazing, service",Pricing,3
hg5b2snbiwbe,"My one week review of Toyota Camry: Not bad. #Affordable, #TrendAlert, #CustomerService Let me know what you think!","#Affordable, #TrendAlert, #CustomerService",@CompetitorBrand,"excellent, user-friendly, service",Product,3
9dlp6yk1t3dx,"Just saw an ad for Adidas Yeezy during the PowerRelease. Not bad. #Lifestyle, #Tech, #Exclusive","#Lifestyle, #Tech, #Exclusive","@IndustryExpert, @StyleGuide","service, satisfaction, sustainable, budget",Pricing,5
rru0wpvzfdko,"So happy with my new Surface Duo from Microsoft! Highly recommend. #Promo, #Premium, #Fashion Really interested in hearing your thoughts!","#Promo, #Premium, #Fashion","@RetailSupport, @CelebrityName","innovation, excellent, budget",Product,5
mwn0zp8v9afj,Pepsi CustomerFirst is excellent! Can't wait to see what's coming next. #Sustainable Let me know what you think!,#Sustainable,@IndustryExpert,"reliable, design, delivery, slow",Support,4
3itita1fbq1e,"Just tried the Galaxy S25 from Samsung. Absolutely loving it. #Health, #Eco, #Travel Would love to get your feedback!","#Health, #Eco, #Travel","@TechHelp, @RetailSupport","outdated, design, eco-friendly",Pricing,4
tq6penfzk0zh,My one month review of Microsoft Xbox Series X: It's okay. #Trending Curious about your experience too.,#Trending,"@RetailSupport, @ReviewSite","reliable, outdated",Support,2
insiib05z27t,"What's your opinion about Pepsi's Crystal Pepsi? @TrendSetter, @CustomerService #Fitness Really interested in hearing your thoughts!",#Fitness,"@TrendSetter, @CustomerService","outdated, expensive, innovation, helpful",Product,5
e6rc1tazqq8d,Amazon SpringBlast2025 is frustrating! Can't wait to see what's coming next. #Health Let me know what you think!,#Health,@InfluencerName,"cheap, disappointing, durable, outdated",Product,5
z33gsi0f3qzk,Comparing Amazon Echo Dot to the competition. Not worth the money. #MustHave Really interested in hearing your thoughts!,#MustHave,@BrandSupport,"sustainable, quality",Returns,4
y5s5uvkss1nb,"Has anyone else experienced connectivity issues with Nike's Dri-FIT? Absolutely loving it. @NewsOutlet #Fitness, #CustomerService","#Fitness, #CustomerService",@NewsOutlet,"reliable, sustainable, improved",Product,3
i3okbf14iilu,"Just saw an ad for Adidas Ultraboost during the SpringBlast2025. Had issues with it. #Quality, #TrendAlert","#Quality, #TrendAlert",@CustomerService,"eco-friendly, helpful, budget",Product,3
hw285tvtxgjc,"Just tried the Coca-Cola Cherry from Coca-Cola. Wouldn't recommend. #Promo, #Exclusive, #ProductLaunch Curious about your experience too.","#Promo, #Exclusive, #ProductLaunch",,"slow, excellent, outdated, customer",Delivery,3
djm4xrmdx7vt,"Comparing Amazon Fire Tablet to the competition. Disappointed with the quality. #TrendAlert, #SpecialOffer Let me know what you think!","#TrendAlert, #SpecialOffer",@StyleGuide,"delivery, improved, competitive, luxury",Pricing,5
rqd62nbcvdre,"Comparing Adidas Samba to the competition. Not bad. #Sustainable, #Innovation Would love to get your feedback!","#Sustainable, #Innovation",@NewsOutlet,"excellent, amazing, value",Pricing,5
0pw0ln6h0i64,"My one week review of Coca-Cola Coca-Cola Vanilla: Worth every penny. #Fashion, #TrendAlert Let me know what you think!","#Fashion, #TrendAlert",,"service, feature",Marketing,5
h8ycp5acj6p3,Just tried the Pepsi Wild Cherry from Pepsi. Not bad. #Beauty Really interested in hearing your thoughts!,#Beauty,"@CelebrityName, @TrendSetter","performance, service",Pricing,2
wqs3fsgie17v,"Comparing Amazon Echo Dot to the competition. Had issues with it. #ProductLaunch, #Tech, #Lifestyle Let me know what you think!","#ProductLaunch, #Tech, #Lifestyle",@IndustryExpert,"budget, value, unique",Marketing,3
smm69bru1pi9,My one month review of Apple Apple Watch: Returning it ASAP. #NewRelease Let me know what you think!,#NewRelease,,"budget, satisfaction",Product,2
obkk56gf4cu2,Just unboxed my new Fire Tablet from Amazon. Absolutely loving it. Can't contain my excitement #Health,#Health,,"competitive, design",Delivery,3
8gnl0ri4ubue,"How do I fix about Coca-Cola's Fanta?  #Health, #Food Let me know what you think!","#Health, #Food",,"budget, cheap, outdated",Returns,1
d09worvhz9me,Attended the Samsung SpringBlast2025 event yesterday. Not bad. #SpecialOffer Curious about your experience too.,#SpecialOffer,@BrandCEO,"design, expensive, slow",Delivery,1
gnq7d8gvai2q,"What's your opinion about Samsung's Galaxy Z Fold? @NewsOutlet, @ProductTeam #Sale Curious about your experience too.",#Sale,"@NewsOutlet, @ProductTeam","design, price, service",Pricing,1
2xwk49f5w579,Comparing Coca-Cola Coke Zero to the competition. Wouldn't recommend. #MustHave Would love to get your feedback!,#MustHave,@RetailSupport,"delivery, customer, responsive",Delivery,5
398vsatgavqy,"Just tried the NMD from Adidas. Worth every penny. #Tech, #BestValue Would love to get your feedback!","#Tech, #BestValue",,"improved, expensive",Product,5
escuqarpf9pp,Just tried the Galaxy Z Fold from Samsung. Wouldn't recommend. #Innovation Really interested in hearing your thoughts!,#Innovation,@MarketingTeam,"efficient, user-friendly, fast, slow",Product,1
zj6vjbcjj9oy,"Attended the Toyota WinterWonders event yesterday. Exceeded my expectations. #BestValue, #Lifestyle, #Deal Curious about your experience too.","#BestValue, #Lifestyle, #Deal",@BrandCEO,"unique, improved",Delivery,3
gjtl28wljxhw,"Attended the Toyota EarthDay event yesterday. Wouldn't recommend. #Innovation, #Sale Really interested in hearing your thoughts!","#Innovation, #Sale",,"unique, customer",Pricing,5
a66602egyiba,"Comparing Coca-Cola Coca-Cola Vanilla to the competition. Disappointed with the quality. #SpecialOffer, #ProductLaunch Really interested in hearing your thoughts!","#SpecialOffer, #ProductLaunch","@NewsOutlet, @CelebrityName","traditional, recommendation",Marketing,5
b23jrpovybrc,My two days review of Toyota Prius: Wouldn't recommend. #Exclusive Would love to get your feedback!,#Exclusive,,"delivery, traditional",Delivery,1
8kmf6iwx9w6r,Just unboxed my new Diet Pepsi from Pepsi. Returning it ASAP. Super excited #Eco Let me know what you think!,#Eco,,"feature, customer, helpful",Returns,1
xnmd2a4dc1fz,"Comparing Google Pixel Tablet to the competition. Not bad. #Quality, #Beauty Let me know what you think!","#Quality, #Beauty",,"slow, competitive",Product,3
grztbvii0yhg,Just saw an ad for Apple iPad Air during the EarthDay. Worth every penny. #Sale,#Sale,@IndustryExpert,"recommendation, delivery",Delivery,3
evc0g7g5lx8m,"Just saw an ad for Google Nest Thermostat during the NextGeneration. Not worth the money. #CustomerService, #Food, #Tech","#CustomerService, #Food, #Tech","@TechHelp, @InfluencerName","expensive, slow",Product,3
l0gxlyb3ko4e,Has anyone else experienced battery problems with Adidas's Ultraboost? Had issues with it.  #Food Would love to get your feedback!,#Food,,"improved, competitive",Returns,1
ega4olj00meh,Attended the Apple InnovationX event yesterday. Best purchase ever. #Fitness Curious about your experience too.,#Fitness,,"reliable, stylish, premium, eco-friendly",Support,3
hit3hd69vh4w,"Has anyone else experienced delivery delays with Nike's Air Jordan? Worth every penny. @InfluencerName, @CelebrityName #CustomerService, #Discount","#CustomerService, #Discount","@InfluencerName, @CelebrityName","cheap, stylish, durable, premium",Delivery,2
vplt1688u7ew,"Just saw an ad for Adidas Predator during the InnovationX. Wouldn't recommend. #Deal, #MustHave Curious about your experience too.","#Deal, #MustHave",,"sustainable, responsive",Delivery,3
trrgpfacbsdz,Attended the Toyota FallCollection event yesterday. Not worth the money. #Promo Let me know what you think!,#Promo,,"efficient, responsive",Delivery,5
prrsez8j160w,"Just tried the NMD from Adidas. Worth every penny. #Lifestyle, #Tech, #Premium Would love to get your feedback!","#Lifestyle, #Tech, #Premium","@TrendSetter, @ReviewSite","budget, customer",Marketing,2
876g3wpzozf6,Just unboxed my new Stan Smith from Adidas. Highly recommend. Fed up #Beauty Really interested in hearing your thoughts!,#Beauty,,"modern, reliable",Support,1
udj0f5zqeaps,Just saw an ad for Toyota RAV4 during the LoyaltyRewards. It's okay. #Eco Let me know what you think!,#Eco,@BrandSupport,"quality, satisfaction, helpful",Delivery,4
cfwkgz51vj7u,My three months review of Nike Dri-FIT: Absolutely loving it. #SpecialOffer Would love to get your feedback!,#SpecialOffer,@StyleGuide,"slow, stylish, fast, modern",Support,2
om1c48ipp5m9,"Just unboxed my new Air Jordan from Nike. Absolutely loving it. Could someone explain #Innovation, #Quality, #Deal","#Innovation, #Quality, #Deal",,"recommendation, design, value",Support,1
knoh64mstue5,"Has anyone else experienced connectivity issues with Nike's Epic React? Does the job. @BrandCEO, @InfluencerName #ProductLaunch, #Travel","#ProductLaunch, #Travel","@BrandCEO, @InfluencerName","cheap, slow, luxury",Product,4
r1jld6aawdom,"Comparing Nike Zoom Pegasus to the competition. Returning it ASAP. #SpecialOffer, #Lifestyle Curious about your experience too.","#SpecialOffer, #Lifestyle",,"stylish, performance, budget, traditional",Marketing,3
93dgnztvwz8q,Just saw an ad for Toyota Tacoma during the DigitalTransformation. Best purchase ever. #Trending Really interested in hearing your thoughts!,#Trending,,"improved, responsive, feature, efficient",Returns,4
d4hnvasl2kdq,"Just saw an ad for Nike Air Max during the HolidaySpecial. Best purchase ever. #Discount, #Sale","#Discount, #Sale",@TrendSetter,"upgraded, stylish, responsive",Delivery,1
5y5dq55vehc3,Should I upgrade about Nike's Air Max?  #Discount Really interested in hearing your thoughts!,#Discount,,"improved, modern, luxury",Marketing,1
zxsluhvk62dy,"Comparing Google Pixel Watch to the competition. Mixed feelings about it. #Innovation, #Beauty Let me know what you think!","#Innovation, #Beauty",@TechHelp,"upgraded, delivery, eco-friendly, durable",Marketing,2
vue2zf9h22z1,"My six months review of Coca-Cola Sprite: Disappointed with the quality. #Quality, #Promo, #Tech Would love to get your feedback!","#Quality, #Promo, #Tech","@TrendSetter, @BrandSupport","design, value",Pricing,3
xrssjonbte05,"Comparing Coca-Cola Coca-Cola Cherry to the competition. Disappointed with the quality. #SpecialOffer, #Health Really interested in hearing your thoughts!","#SpecialOffer, #Health",,"service, recommendation, luxury",Marketing,1
040sdcorx2ue,Loving it with my new Coca-Cola Vanilla from Coca-Cola! Best purchase ever. #Trending Would love to get your feedback!,#Trending,"@RetailSupport, @InfluencerName","slow, design",Delivery,4
95pt5sby3sl1,"Anyone have tips about Pepsi's Pepsi Max?  #Deal, #Fashion Let me know what you think!","#Deal, #Fashion",,"performance, fast, recommendation",Support,1
0eyb40kcous7,Apple PowerRelease is underwhelming! Can't wait to see what's coming next. #Travel Really interested in hearing your thoughts!,#Travel,@RetailSupport,"outdated, competitive",Marketing,3
rh7jt9kj7tw8,Any advice about Toyota's Sienna?  #NewRelease Let me know what you think!,#NewRelease,,"cheap, design, feature, slow",Support,4
yykljrj7z54p,"Comparing Nike FlyKnit to the competition. As expected. #ProductLaunch, #Fashion Would love to get your feedback!","#ProductLaunch, #Fashion",@TrendSetter,"sustainable, competitive, satisfaction, improved",Support,5
qsffasp90htz,"Attended the Samsung NewYearNewYou event yesterday. Best purchase ever. #Promo, #Travel Would love to get your feedback!","#Promo, #Travel","@ReviewSite, @BrandCEO","disappointing, feature, satisfaction, competitive",Marketing,1
9garpx6nscf0,"Nike NewYearNewYou is fantastic! Can't wait to see what's coming next. #Fashion, #Beauty, #Tech Really interested in hearing your thoughts!","#Fashion, #Beauty, #Tech",,"quality, improved, durable",Delivery,3
mlfjkweee294,"Loving it with my new Epic React from Nike! Absolutely loving it. #Trending, #Sustainable, #Health","#Trending, #Sustainable, #Health","@CustomerService, @MarketingTeam","user-friendly, recommendation, satisfaction",Delivery,5
fc4ia45z5oqh,"Attended the Adidas NewYearNewYou event yesterday. As expected. #Health, #Trending, #Eco Really interested in hearing your thoughts!","#Health, #Trending, #Eco",,"stylish, outdated, durable",Support,2
0s0oko8kc5j0,Comparing Nike Air Max to the competition. Highly recommend. #NewRelease Really interested in hearing your thoughts!,#NewRelease,,"experience, satisfaction, design",Returns,3
tuucfzvmcbkt,"Attended the Coca-Cola NewYearNewYou event yesterday. Mixed feelings about it. #Tech, #NewRelease Curious about your experience too.","#Tech, #NewRelease",@CustomerService,"price, quality, improved",Marketing,3
88t05w0blr6i,"Should I upgrade about Toyota's Camry? @BrandSupport, @CustomerService #ProductLaunch Let me know what you think!",#ProductLaunch,"@BrandSupport, @CustomerService","service, innovation, value, luxury",Product,2
r3kek7n9shci,"Attended the Microsoft BackToSchool event yesterday. Absolutely loving it. #Fashion, #Travel Would love to get your feedback!","#Fashion, #Travel","@IndustryExpert, @BrandSupport","eco-friendly, experience, feature",Marketing,2
uufhcfhexzft,"Comparing Google Nest Hub to the competition. Not bad. #TrendAlert, #Beauty, #Sale Curious about your experience too.","#TrendAlert, #Beauty, #Sale","@CompetitorBrand, @ReviewSite","quality, performance, eco-friendly, upgraded",Product,5
z5xlwznbck13,"Has anyone else experienced customer service with Toyota's Sienna? Exceeded my expectations. @ProductTeam, @BrandCEO #NewRelease, #Health, #Quality","#NewRelease, #Health, #Quality","@ProductTeam, @BrandCEO","sustainable, customer, cheap",Product,4
drl44qnl1wjv,"Could someone explain with my new Diet Coke from Coca-Cola! Not bad. #Health, #Beauty, #Sale","#Health, #Beauty, #Sale","@CustomerService, @RetailSupport","satisfaction, eco-friendly, experience, sustainable",Product,5
i13x3ekn0zds,"Super excited with my new Xbox Series X from Microsoft! Absolutely loving it. #MustHave, #Limited, #BestValue","#MustHave, #Limited, #BestValue",@IndustryExpert,"delivery, quality, traditional",Marketing,2
6r2kqtjw3k82,"Samsung ReferralBonus is disappointing! Can't wait to see what's coming next. #BestValue, #MustHave, #TrendAlert Really interested in hearing your thoughts!","#BestValue, #MustHave, #TrendAlert",,"helpful, amazing, performance",Returns,2
5kudxj0gpvjn,"Not sure why with my new Zoom Pegasus from Nike! Absolutely loving it. #Affordable, #Premium, #Fashion","#Affordable, #Premium, #Fashion",,"satisfaction, user-friendly, amazing, modern",Pricing,2
i7siovb0ivfx,Just tried the AirPods Pro from Apple. Not worth the money. #Sale Let me know what you think!,#Sale,@TechHelp,"outdated, cheap, sustainable, reliable",Product,1
lroefcjneqge,"My one week review of Google Pixel 8: As expected. #Deal, #Reviews, #Exclusive Let me know what you think!","#Deal, #Reviews, #Exclusive",@InfluencerName,"outdated, competitive, improved",Marketing,5
2qdk2u1ybxa5,Attended the Google SummerSale event yesterday. Best purchase ever. #Travel Really interested in hearing your thoughts!,#Travel,@RetailSupport,"cheap, performance",Returns,4
achs2v1rsi04,Any advice about Microsoft's Surface Laptop?  #CustomerService Would love to get your feedback!,#CustomerService,,"cheap, eco-friendly, quality, recommendation",Product,5
5m739o7azasm,Comparing Pepsi Crystal Pepsi to the competition. It's okay. #Exclusive Would love to get your feedback!,#Exclusive,,"quality, premium",Support,5
uwrkn2f72vwm,"My two days review of Pepsi Pepsi Lime: As expected. #Eco, #BestValue, #Reviews Let me know what you think!","#Eco, #BestValue, #Reviews","@CustomerService, @BrandCEO","innovation, experience, design, upgraded",Returns,1
t0l4ct3h34x7,Attended the Samsung EarthDay event yesterday. Returning it ASAP. #Discount Would love to get your feedback!,#Discount,,"price, luxury, amazing",Returns,5
scjsbpju4kjs,Any advice about Nike's Zoom Pegasus?  #Exclusive Really interested in hearing your thoughts!,#Exclusive,,"satisfaction, service, quality",Returns,4
by3vt62b0cnn,"Just tried the Surface Laptop from Microsoft. Worth every penny. #Travel, #MustHave Would love to get your feedback!","#Travel, #MustHave","@ProductTeam, @CompetitorBrand","reliable, stylish",Product,1
apzufbcptr7n,"My three months review of Microsoft Surface Go: Had issues with it. #Sale, #Tech, #Eco","#Sale, #Tech, #Eco","@TrendSetter, @StyleGuide","fast, helpful, feature",Support,2
nmjv1gzo3tp8,My one month review of Amazon Kindle: Returning it ASAP. #Fitness Would love to get your feedback!,#Fitness,@ReviewSite,"satisfaction, delivery, upgraded",Support,5
epbtw8ygpk8v,"Attended the Google SummerSale event yesterday. Mixed feelings about it. #Sale, #Travel, #Limited Let me know what you think!","#Sale, #Travel, #Limited","@CompetitorBrand, @IndustryExpert","durable, design",Delivery,1
zjooe6kl9ulv,"Just saw an ad for Adidas Gazelle during the NewYearNewYou. Not bad. #Promo, #NewRelease Curious about your experience too.","#Promo, #NewRelease",@NewsOutlet,"slow, efficient, budget, modern",Marketing,1
vys7pghwg8gc,"Has anyone else experienced software bugs with Microsoft's Xbox Elite Controller? Had issues with it. @ProductTeam, @MarketingTeam #CustomerService, #Health, #Discount","#CustomerService, #Health, #Discount","@ProductTeam, @MarketingTeam","satisfaction, outdated, performance, helpful",Returns,4
9pbd2hr10jje,Attended the Microsoft BlackFriday event yesterday. Worth every penny. #Lifestyle Let me know what you think!,#Lifestyle,"@TrendSetter, @ReviewSite","innovation, luxury, modern",Returns,1
eizy656mq8hv,"Just unboxed my new Highlander from Toyota. Absolutely loving it. Thrilled #Eco, #MustHave Curious about your experience too.","#Eco, #MustHave",,"sustainable, modern, service",Pricing,2
29qks10vnefi,"Just saw an ad for Amazon Eero WiFi during the WinterWonders. Returning it ASAP. #Sale, #Beauty, #Health","#Sale, #Beauty, #Health",,"durable, sustainable",Returns,2
mukxkmkdat2a,"Adidas ReferralBonus is subpar! Can't wait to see what's coming next. #Reviews, #Health, #NewRelease Let me know what you think!","#Reviews, #Health, #NewRelease",@MarketingTeam,"quality, sustainable",Marketing,2
1jd17bf99znx,Just tried the AirPods Pro from Apple. Mixed feelings about it. #Limited Really interested in hearing your thoughts!,#Limited,,"budget, durable, luxury",Support,2
xlk4lol7ny1y,Any advice about Nike's Air Jordan? @BrandSupport #Premium Would love to get your feedback!,#Premium,@BrandSupport,"price, unique",Delivery,2
h6mhgclr4tsy,My six months review of Pepsi Pepsi Lime: Exceeded my expectations. #Lifestyle Really interested in hearing your thoughts!,#Lifestyle,,"slow, customer, reliable",Pricing,3
nie6mzj3l24n,"Comparing Coca-Cola Sprite to the competition. Wouldn't recommend. #Beauty, #Quality, #Fashion Curious about your experience too.","#Beauty, #Quality, #Fashion",@IndustryExpert,"fast, user-friendly, cheap, value",Pricing,1
q645mte9n6wf,"My one year review of Amazon Halo Band: Highly recommend. #Exclusive, #Affordable, #Promo Really interested in hearing your thoughts!","#Exclusive, #Affordable, #Promo",,"helpful, price",Support,1
ul4sf1o75naq,"Anyone have tips about Samsung's Galaxy Watch? @ProductTeam, @MarketingTeam #ProductLaunch, #Fashion, #NewRelease Curious about your experience too.","#ProductLaunch, #Fashion, #NewRelease","@ProductTeam, @MarketingTeam","responsive, stylish, helpful, outdated",Support,3
10m6628j3gvg,"Has anyone else experienced customer service with Pepsi's Pepsi Max? Returning it ASAP.  #NewRelease, #Fitness","#NewRelease, #Fitness",,"cheap, satisfaction, amazing, unique",Product,5
g7cgbm2uj0rq,"Just tried the Vision Pro from Apple. Exceeded my expectations. #Beauty, #Deal, #Discount Would love to get your feedback!","#Beauty, #Deal, #Discount",,"design, excellent, feature",Support,1
el3yav2uxodw,"Nike NextGeneration is overpriced! Can't wait to see what's coming next. #Beauty, #Reviews Really interested in hearing your thoughts!","#Beauty, #Reviews","@TrendSetter, @StyleGuide","cheap, luxury, performance, feature",Support,2
5alrcrq9zgra,My six months review of Adidas Ultraboost: Does the job. #ProductLaunch Really interested in hearing your thoughts!,#ProductLaunch,@TechHelp,"improved, poor",Pricing,3
bmfhm8zt3wf9,"Just tried the Crystal Pepsi from Pepsi. Highly recommend. #Innovation, #TrendAlert, #CustomerService Curious about your experience too.","#Innovation, #TrendAlert, #CustomerService",@BrandSupport,"feature, traditional, value",Delivery,5
38cjg3q6ryk3,Not sure why with my new Yeezy from Adidas! Exceeded my expectations. #Lifestyle Curious about your experience too.,#Lifestyle,@CustomerService,"outdated, innovation, design",Pricing,1
3bvmc5n56tq5,Just unboxed my new Dri-FIT from Nike. Disappointed with the quality. Sad to report #Trending,#Trending,"@InfluencerName, @TechHelp","competitive, price",Marketing,2
fc4p3mhggj2m,"Any advice about Nike's Epic React? @NewsOutlet #Deal, #Sustainable Would love to get your feedback!","#Deal, #Sustainable",@NewsOutlet,"cheap, customer",Delivery,3
7t82krstkktr,"Apple CyberMonday is frustrating! Can't wait to see what's coming next. #BestValue, #Lifestyle, #Limited Would love to get your feedback!","#BestValue, #Lifestyle, #Limited",,"fast, design, luxury, excellent",Support,3
45ti29lqk1hm,"Has anyone else experienced delivery delays with Coca-Cola's Coca-Cola Cherry? Highly recommend.  #Health, #Promo, #Sale","#Health, #Promo, #Sale",,"unique, premium",Product,4
