post_id,user_id,time_id,brand_id,language_id,sentiment_id,sentiment_score,likes_count,shares_count,comments_count,impressions,engagement_rate,buzz_change_rate,sentiment_score,toxicity_score,user_past_sentiment_avg,user_engagement_growth
trrgpfacbsdz,user_0kr6z6nu,75,75,2,2,-0.7755,3718,1269,726,38203,0.14954,43.7,-0.7755,0.3086,0.1286,-0.1909
prrsez8j160w,user_z08pfm14,76,76,5,9,0.6133,4430,1630,558,80689,0.08201,37.3,0.6133,0.2987,0.5118,0.2226
876g3wpzozf6,user_iq8ohaih,77,77,9,9,0.828,3658,60,455,96459,0.04326,28.5,0.828,0.9776,-0.0886,-0.0807
udj0f5zqeaps,user_fm8s2758,78,78,10,10,0.1255,1756,489,126,67976,0.03487,96.0,0.1255,0.5623,-0.3702,-0.1919
cfwkgz51vj7u,user_nngdhfpd,79,79,8,5,0.8634,1897,1278,125,48144,0.06854,36.3,0.8634,0.1558,0.6998,0.2929
om1c48ipp5m9,user_wigldeq1,80,80,4,1,0.768,1854,992,737,91371,0.03921,78.3,0.768,0.3707,-0.4549,-0.432
knoh64mstue5,user_7v9ajgbh,81,81,4,11,0.1636,3458,1422,762,34084,0.16553,9.2,0.1636,0.0383,-0.2831,0.2822
r1jld6aawdom,user_8z6njtka,82,82,8,3,-0.9549,2819,987,455,47640,0.08944,-87.8,-0.9549,0.6604,-0.1507,0.3736
93dgnztvwz8q,user_8f8n21fg,83,83,10,9,0.6329,4017,1687,88,86449,0.06699,-86.4,0.6329,0.5273,-0.0679,-0.3335
d4hnvasl2kdq,user_2k5aaycv,84,84,4,9,0.4791,4827,1877,711,35506,0.20883,13.2,0.4791,0.0905,0.4274,-0.4499
5y5dq55vehc3,user_szdifqcp,85,85,2,5,0.22,3241,669,70,94750,0.042,-18.1,0.22,0.0528,-0.8931,0.4437
zxsluhvk62dy,user_d3ymednx,86,86,10,10,-0.0192,1969,1374,526,91915,0.04209,52.7,-0.0192,0.3925,0.6036,0.3273
vue2zf9h22z1,user_pen659ze,87,87,1,12,-0.6208,3309,1435,628,59121,0.09086,-72.7,-0.6208,0.5697,0.6314,-0.1312
xrssjonbte05,user_6jmkg0bk,88,88,3,3,-0.5789,4402,227,37,31089,0.15008,76.4,-0.5789,0.4577,0.1597,0.1594
040sdcorx2ue,user_ruqyifrb,89,89,4,5,0.462,3191,656,344,25529,0.16416,-13.3,0.462,0.8772,0.0986,0.2354
95pt5sby3sl1,user_ls8bu2sh,90,90,8,2,-0.58,4306,80,844,29834,0.1753,-98.2,-0.58,0.3952,0.7546,-0.2476
0eyb40kcous7,user_9haa2zu1,91,91,10,6,-0.618,3628,366,768,10962,0.4344,68.1,-0.618,0.2945,0.9041,-0.2105
rh7jt9kj7tw8,user_q2qrugp7,92,92,10,5,0.4361,4881,1787,913,17833,0.42511,-86.9,0.4361,0.0621,-0.1904,-0.4085
yykljrj7z54p,user_r46af80k,93,93,1,10,0.0,2429,1344,46,48471,0.07878,-52.4,0.0,0.495,0.4206,-0.1589
qsffasp90htz,user_6ke2m8tn,94,94,6,8,0.7417,329,823,849,31851,0.06282,86.1,0.7417,0.1933,0.3908,-0.2266
9garpx6nscf0,user_8g8sq0td,95,95,3,9,0.9516,2485,291,289,13077,0.23438,-22.7,0.9516,0.8565,-0.9185,-0.1575
mlfjkweee294,user_hz0arhtv,96,96,3,5,0.2229,3421,1622,649,85194,0.06681,-79.1,0.2229,0.1989,0.9658,-0.0806
fc4ia45z5oqh,user_89403gou,97,97,7,10,0.004,4197,164,778,25102,0.20472,13.5,0.004,0.9978,-0.7032,-0.0283
0s0oko8kc5j0,user_6wap9mzb,98,84,8,8,0.3828,690,923,252,87360,0.02134,-20.6,0.3828,0.8416,-0.9044,-0.4839
tuucfzvmcbkt,user_jfkwl8tf,99,98,8,13,0.094,3718,1013,781,23393,0.23562,36.1,0.094,0.1252,-0.8649,0.3877
88t05w0blr6i,user_g612w4ko,100,99,7,6,-0.9403,4525,887,68,9579,0.57208,-59.0,-0.9403,0.5413,0.4159,-0.4948
r3kek7n9shci,user_jprd3ypd,101,100,9,9,0.8401,2175,1838,483,47549,0.09455,-80.3,0.8401,0.9146,0.0876,-0.1503
uufhcfhexzft,user_47o2zlmp,102,101,1,13,0.1413,3939,1160,794,46410,0.12697,65.7,0.1413,0.7641,-0.2359,0.476
z5xlwznbck13,user_tdf1u0pk,103,102,6,1,0.3061,82,722,467,92097,0.0138,96.5,0.3061,0.5616,-0.8266,0.1757
drl44qnl1wjv,user_do09zsgf,104,103,3,14,-0.1859,712,1649,233,48099,0.05393,62.7,-0.1859,0.7752,-0.6866,-0.3432
i13x3ekn0zds,user_rb0916aw,105,104,2,8,0.2466,898,181,762,12856,0.1432,46.6,0.2466,0.9476,-0.9937,-0.2313
6r2kqtjw3k82,user_m6htxmba,106,105,7,12,-0.8227,244,1111,473,9247,0.19768,-88.0,-0.8227,0.012,0.5405,-0.0566
5kudxj0gpvjn,user_v47atr8s,107,106,8,1,0.559,930,1208,872,64075,0.04697,-68.8,0.559,0.4472,0.5342,-0.3078
i7siovb0ivfx,user_ldp69jyi,108,107,3,12,-0.8935,3731,1846,25,36263,0.15448,-84.8,-0.8935,0.4744,0.2894,0.2331
lroefcjneqge,user_tlndkk6x,109,108,6,13,0.0506,3168,1220,386,35633,0.13397,-46.9,0.0506,0.526,0.9313,-0.4733
2qdk2u1ybxa5,user_cewokvoy,110,109,2,1,0.2917,1017,398,389,58216,0.03098,62.5,0.2917,0.5001,-0.2373,0.3548
achs2v1rsi04,user_i59rr7m0,111,110,6,5,0.9007,4788,630,313,99236,0.05775,-29.9,0.9007,0.6071,0.1264,0.3794
5m739o7azasm,user_7ho53v2r,112,111,3,11,-0.071,1973,750,517,99800,0.03246,3.8,-0.071,0.8831,0.2932,0.3228
uwrkn2f72vwm,user_hkmhxhn9,113,112,8,10,-0.0833,639,481,732,20026,0.09247,52.3,-0.0833,0.1514,0.5833,-0.0706
t0l4ct3h34x7,user_j3klza7u,114,113,6,4,-0.2909,523,1816,320,32232,0.08249,31.0,-0.2909,0.3999,0.2184,0.0854
scjsbpju4kjs,user_stqoj7ph,115,114,3,14,0.1708,1299,449,869,66484,0.03936,-56.0,0.1708,0.4393,0.0479,-0.4645
by3vt62b0cnn,user_wf1x4qja,116,115,2,9,0.9649,174,215,104,8764,0.05625,37.9,0.9649,0.5491,0.9569,-0.3945
apzufbcptr7n,user_gocbpvit,117,116,3,12,-0.6886,3756,1224,455,53253,0.10205,-17.3,-0.6886,0.9872,0.8902,-0.1563
nmjv1gzo3tp8,user_jt7lkwtv,118,117,6,4,-0.4635,109,922,207,196,6.31632,18.2,-0.4635,0.9269,0.0342,-0.3795
epbtw8ygpk8v,user_p7oc8yok,119,118,2,10,-0.1744,2075,1094,806,81024,0.04905,31.5,-0.1744,0.3466,0.5386,-0.2164
zjooe6kl9ulv,user_xw2x8wg8,120,119,8,14,-0.0316,291,150,840,24194,0.05294,85.3,-0.0316,0.012,0.6479,0.3971
vys7pghwg8gc,user_1tj1os8c,121,120,10,12,-0.2773,1414,17,709,14708,0.14549,-82.1,-0.2773,0.6613,0.5117,0.1191
9pbd2hr10jje,user_vsuudyj9,122,121,7,1,0.4764,3746,614,588,5796,0.85369,6.9,0.4764,0.6339,0.728,0.024
eizy656mq8hv,user_c61pubpz,123,122,8,8,0.4297,1515,1807,576,20307,0.19195,-19.5,0.4297,0.8966,0.2482,-0.3449
29qks10vnefi,user_om2p368z,124,123,10,3,-0.6438,2654,1586,443,53311,0.08784,99.7,-0.6438,0.6314,-0.543,-0.3036
mukxkmkdat2a,user_yuh0pt0t,125,124,1,6,-0.342,2631,732,672,72085,0.05597,81.6,-0.342,0.9032,-0.6226,-0.4831
1jd17bf99znx,user_03fh5umt,126,125,7,15,-0.0168,1882,1331,811,95012,0.04235,-43.1,-0.0168,0.3758,-0.9761,-0.0229
xlk4lol7ny1y,user_8pe2tbx1,127,126,8,3,-0.5336,4512,293,741,7844,0.70703,-55.0,-0.5336,0.713,-0.2262,0.333
h6mhgclr4tsy,user_mpbdz21k,128,127,7,5,0.845,985,680,307,70713,0.02788,-75.1,0.845,0.8011,-0.8992,-0.1837
nie6mzj3l24n,user_14s7vurf,129,87,5,6,-0.911,3032,1058,224,43484,0.0992,91.6,-0.911,0.2281,0.755,-0.3687
q645mte9n6wf,user_mhu892st,130,128,8,8,0.3174,4222,1320,404,97228,0.06115,-94.0,0.3174,0.5536,-0.7274,-0.4744
ul4sf1o75naq,user_cgmtsm6u,131,129,6,4,-0.7631,4273,435,666,1600,3.35875,-84.7,-0.7631,0.0221,-0.5204,0.1242
10m6628j3gvg,user_g1bv1tp1,132,130,9,2,-0.6552,3634,643,411,8094,0.57919,-89.4,-0.6552,0.376,-0.5142,-0.048
g7cgbm2uj0rq,user_6888jnn4,133,131,7,9,0.6721,2746,765,163,96301,0.03815,-79.0,0.6721,0.762,0.2536,0.209
el3yav2uxodw,user_j1p89gu5,134,132,9,6,-0.2761,3953,261,865,36198,0.14031,54.4,-0.2761,0.5661,0.6075,0.3533
5alrcrq9zgra,user_921kvdk6,135,133,5,14,-0.0371,1006,1850,268,17176,0.18188,38.3,-0.0371,0.4971,0.8795,-0.0488
bmfhm8zt3wf9,user_c48hfo1e,136,134,5,1,0.8727,3889,1289,469,40648,0.13892,2.0,0.8727,0.5926,0.6339,-0.0683
38cjg3q6ryk3,user_p9meh6sc,137,135,7,1,0.3189,2134,27,702,89046,0.03215,25.5,0.3189,0.8422,0.5617,-0.206
3bvmc5n56tq5,user_d3i607cn,138,136,2,4,-0.8506,912,1590,512,36727,0.08206,31.2,-0.8506,0.0418,0.4666,0.2456
fc4p3mhggj2m,user_9a8kuprg,139,137,2,6,-0.6486,1021,1103,595,56893,0.04779,61.7,-0.6486,0.6629,0.2907,-0.2372
7t82krstkktr,user_gt647dl9,140,138,2,6,-0.7538,2828,26,794,46886,0.0778,-87.5,-0.7538,0.5754,0.261,-0.2905
45ti29lqk1hm,user_6nuszpm8,141,139,9,9,0.2315,1964,109,994,75759,0.04048,9.7,0.2315,0.0703,-0.4061,-0.0118
a1kiwl618kzy,user_810nlx6f,142,140,5,3,-0.4008,4811,1952,920,97516,0.07878,19.1,-0.4008,0.8388,-0.2622,-0.1514
97dj3lym0s9g,user_u84jahj8,143,141,8,7,0.2981,735,284,128,92207,0.01243,-86.3,0.2981,0.2311,0.4882,0.2075
nbjewi9zfxzg,user_bq8q1jew,144,142,5,3,-0.862,3758,1994,605,55085,0.1154,29.9,-0.862,0.3503,0.5663,-0.4338
ldcnb9b6wetp,user_p5mwov8q,145,143,5,6,-0.6063,2647,848,864,1689,2.58081,-75.0,-0.6063,0.5887,-0.9372,-0.2311
0gv41wfo0j4g,user_sbp3jr27,146,144,2,8,0.3433,137,1051,211,92001,0.0152,-15.8,0.3433,0.1616,-0.6508,-0.1529
zpls8id15d4q,user_3udn9dee,147,145,3,9,0.9939,4928,257,574,78749,0.07313,-38.7,0.9939,0.3316,-0.6634,-0.2508
11tqzysq0g7q,user_x1gtllz8,148,146,6,9,0.5123,3834,347,772,99528,0.04976,-55.1,0.5123,0.8234,0.1528,-0.2019
mqbgib3u43jj,user_jwjax8mf,149,147,10,13,-0.1111,1354,870,649,12788,0.22466,73.8,-0.1111,0.7784,-0.9102,0.1751
pxa7pndwbdtq,user_d6tjszz8,150,148,8,2,-0.842,649,1209,685,3745,0.67903,50.7,-0.842,0.9482,0.0704,0.0731
x8m7b1rua3yl,user_49claaw8,151,149,7,8,0.5633,3803,1368,895,29502,0.20561,-67.1,0.5633,0.3678,0.1822,-0.3675
x2qmayyeng4i,user_7aru70j1,152,150,2,7,0.3711,19,1876,848,81315,0.03373,17.2,0.3711,0.6938,-0.7498,-0.0964
db2d9upg2aip,user_95x9pwfh,153,151,4,1,0.6641,407,1824,961,210,15.2,51.5,0.6641,0.8609,-0.9527,0.3922
a9ov1xxxec5c,user_lcf0gt0j,154,152,4,5,0.9121,3572,1758,164,82700,0.06643,37.3,0.9121,0.7467,-0.5263,-0.2423
stwoksyw9jea,user_yl1909p1,155,52,2,2,-0.8082,2372,1573,732,55451,0.08434,-67.4,-0.8082,0.0323,0.7896,0.0546
6t5fqfrwb6dr,user_q7me8zkt,156,153,4,8,0.311,3460,504,569,94279,0.04808,-20.4,0.311,0.9995,-0.8133,0.4222
b6y1tqs2xddr,user_at602ccu,157,154,4,4,-0.4144,1127,729,55,26692,0.07159,-7.7,-0.4144,0.9737,-0.2243,0.1237
c9l4t3mihdjv,user_gjidz8uh,158,155,3,9,0.5083,4882,496,718,24213,0.25176,-67.1,0.5083,0.832,0.0193,-0.0034
3guaqr3uv05g,user_cwc47wtw,159,156,1,9,0.5351,1177,1503,283,4056,0.73052,24.7,0.5351,0.7875,0.9947,0.0079
0ci9hh0swkl5,user_b5zsr3h6,160,157,9,15,0.168,438,1837,575,79419,0.03588,-73.0,0.168,0.1459,0.0348,-0.314
zffwgre2ka9d,user_8foxxevj,161,158,3,8,0.611,3618,1908,214,16811,0.34144,95.6,0.611,0.6678,0.6586,0.213
jo7u69a2iz9x,user_1wikzmho,162,159,4,3,-0.3312,491,590,237,33102,0.03981,-36.9,-0.3312,0.3115,-0.0863,-0.4075
0o7hdn5x3ule,user_5r88mzuz,163,160,3,7,0.8381,1949,1301,936,13269,0.31547,-75.3,0.8381,0.7928,0.3132,-0.3596
re3myo3t3uhs,user_qd7y55f0,164,161,6,4,-0.4234,534,775,191,81896,0.01831,-70.8,-0.4234,0.1516,0.8447,0.3822
laj3lko9lpg2,user_qipua0tb,165,162,9,5,0.3108,2315,1207,10,35768,0.09874,-76.5,0.3108,0.1033,0.2768,-0.1526
ooaq7i8mdper,user_as9cgmej,166,163,1,9,0.9496,2372,81,133,73826,0.03502,-56.8,0.9496,0.9614,-0.1904,-0.4485
gpejmuxpg38h,user_48nutuxw,167,164,9,9,0.482,4760,1095,208,91435,0.0663,60.2,0.482,0.8984,-0.7002,0.3941
lvgotdwjov7g,user_bdmrfoge,168,165,6,4,-0.2037,3969,1399,66,46662,0.11645,76.2,-0.2037,0.5712,-0.8302,-0.0632
i8ymti6tu82a,user_jmpz9qyq,169,166,2,10,0.0905,4524,987,955,24053,0.26882,76.6,0.0905,0.6909,0.5986,-0.1107
b8e0te6hvv7c,user_d540lt76,170,167,7,1,0.6194,4043,1882,16,3503,1.69597,-95.2,0.6194,0.1032,0.617,-0.2901
7nnawm32gf1k,user_szbyooey,171,168,4,5,0.3616,3531,816,368,98358,0.04793,-23.5,0.3616,0.2852,0.5891,0.4623
zdftyynyes67,user_mietok3j,172,169,6,7,0.7861,1054,1345,875,94445,0.03466,47.3,0.7861,0.5293,0.6293,-0.4196
gaapw8i7gwa1,user_69rfonk3,173,20,4,11,-0.0289,2155,162,509,96025,0.02942,98.6,-0.0289,0.8709,0.4821,0.2942
wtfh1sc2myuf,user_3e6vbpgy,174,170,9,1,0.9391,1937,1054,811,60351,0.06299,-60.2,0.9391,0.9831,0.4511,-0.4449
1fu318s17aoz,user_7gqvvzuy,175,171,1,5,0.211,1690,1600,304,55902,0.06429,42.1,0.211,0.0702,0.7572,-0.1218
m5l29bgd793h,user_8vf6xkwh,176,172,7,12,-0.708,910,1348,279,40924,0.06199,-95.5,-0.708,0.3449,0.9005,0.3155
4rl6k4dystgu,user_278nhs9u,177,173,5,9,0.9876,2124,149,445,48080,0.05653,93.3,0.9876,0.9898,-0.0377,-0.1134
2fds6eqc2f37,user_xg8l4fvi,178,174,4,8,0.5947,4561,1594,929,58503,0.12108,11.5,0.5947,0.9363,0.0105,-0.3195
dglvpkff485m,user_p0d18vsc,179,175,5,15,-0.014,2937,1553,609,87933,0.05798,-63.7,-0.014,0.0396,0.2335,-0.4424
4hp0x1ge9qqg,user_h5vij275,180,176,4,12,-0.2959,4670,100,101,23364,0.20848,62.2,-0.2959,0.5623,0.5842,-0.3134
60de31z8un60,user_acrnl9py,181,177,10,6,-0.5306,2866,1112,482,88825,0.05021,-40.3,-0.5306,0.9104,0.9482,0.0534
iaaqcdo2nvmk,user_ks4jalut,182,178,8,13,0.0079,2824,1078,917,66931,0.07199,-62.5,0.0079,0.7143,-0.5144,0.4667
5c52x4o7r1xa,user_zot6h504,183,179,10,3,-0.3624,2850,1495,328,40678,0.11487,6.2,-0.3624,0.1075,-0.3357,-0.3534
8ctwbe9d5ufn,user_0ummllzm,184,180,4,9,0.5506,548,1379,629,49366,0.05177,45.4,0.5506,0.5634,0.3607,-0.0207
